name,lat,long,within
Calry,54.27964684,-8.402737689,Carbury
Killallaghtan,53.28272021,-8.396610988,Kilconnell
Abington,52.65316579,-8.394362905,Owneybeg
Kilteely,52.52297372,-8.392216356,Coonagh
Killybegs Lower,54.75457515,-8.352779274,Banagh
Grean,52.55656731,-8.362534828,Coonagh
Ballyscaddan,52.42025184,-8.372712972,Coshlea
Killerry,54.21273101,-8.367460513,Tirerrill
Killimorbologue,53.16799823,-8.289094971,Longford
Killoscully,52.76107637,-8.296002226,Owney and Arra
Kilbegnet,53.59903717,-8.398132384,Ballymoe
Fuerty,53.61834211,-8.277173565,
Killasnet,54.34042188,-8.264870634,Rosclogher
Ahascragh,53.4103219,-8.305385596,Clonmacnowen
Tulacha Beigile,55.06956528,-8.185511356,Kilmacrenan
Templebredon,52.502799,-8.337022933,Coonagh
Drumlease,54.2709719,-8.289063547,Drumahaire
Little Island,51.89725129,-8.349239986,Barrymore
Killeroran,53.49292217,-8.325864461,Killian
Oran,53.6715839,-8.332940065,Ballymoe
Killadoon,54.0945288,-8.311649151,Tirerrill
Shancough,54.12840508,-8.258259247,Tirerrill
Carrigtohill,51.92457714,-8.261708744,Barrymore
Boyle,53.97890637,-8.313767919,Boyle
Clontuskert,53.2775315,-8.228995974,Clonmacnowen
Youghalarra,52.86487569,-8.317599708,Owney and Arra
Templerobin,51.86718505,-8.252863485,Barrymore
Lettermacaward,54.91056726,-8.233961292,Boylagh
Clonbeg,52.40732186,-8.202742152,Clanwilliam
Lickmolassy,53.09810004,-8.255867145,Longford
Kilcloony,53.32574942,-8.264233628,Clonmacnowen
Shronell,52.47898979,-8.243654928,Clanwilliam
Cloonlogher,54.26695536,-8.194889625,Drumahaire
Terryglass,53.04555435,-8.199058708,Lower Ormond
Nenagh,52.85734274,-8.20533016,Lower Ormond
Cloyne,51.85315073,-8.098279706,Imokilly
Kilmactranny,54.08468667,-8.243800791,Tirerrill
Rahara,53.53291429,-8.13541348,Athlone
Borrisokane,53.00094882,-8.142708666,Lower Ormond
Creagh,51.5215065,-9.306866415,Moycarn
Dolla,52.76143438,-8.164760399,Upper Ormond
St Mary's,53.42370414,-7.910816998,Brawny
Reynagh,53.1716938,-7.94473008,Garrycastle
Lismore and Mocollop,52.16437642,-7.963822789,Coshmore and Coshbride
Neddans,52.30462565,-7.845602982,Iffa and Offa West
Drom,52.7633896,-7.887444041,Eliogarty
Clondulane,52.14069219,-8.232846174,Condons and Clangibbon
Moore,53.32282354,-8.090207254,Moycarn
Clondahorky,55.14079465,-7.954171186,Kilmacrenan
Templenacarriga,51.97312885,-8.185409614,Barrymore
Tullyfern,55.08155997,-7.670066141,Kilmacrenan
Kilbeheny,52.32347467,-8.228909294,Coshlea
St Marys Clonmel,52.31411617,-7.657986782,Glenahiry
Derrygrath,52.3557802,-7.840477868,Iffa and Offa West
Athleague,53.56402771,-8.26822998,Athlone
Loughkeen,53.06406249,-7.972765561,Lower Ormond
Toem,52.61972246,-8.147945038,Kilnamanagh Upper
Ballyspillane,51.95253197,-8.162103038,Barrymore
Killesher,54.25306141,-7.770698193,Clanawley
Kilruane,52.89778203,-8.147057646,Upper Ormond
Ardcrony,52.9416406,-8.146026652,Lower Ormond
Drumhome,54.59961032,-8.062087961,Tirhugh
Termonbarry,53.78102613,-7.927481995,Ballintober North
Donohill,52.57720232,-8.111707006,Clanwilliam
Killymard,54.72262081,-8.103370181,Banagh
Rostellan,51.83890691,-8.169013668,Imokilly
Lisbunny,52.8594625,-8.148631402,Upper Ormond
Killarga,54.22438489,-8.155596777,Drumahaire
Killukin,53.74802957,-8.206842551,Boyle
Cloonclare,54.30079954,-8.067300234,Drumahaire
Kiltrustan,53.81637144,-8.101824825,Roscommon
Aglishcloghane,53.0486502,-8.097944592,Lower Ormond
Meelick,53.93260232,-9.013255085,Longford
Gartan,54.99597902,-7.997042918,Kilmacrenan
Templeneiry,52.41135769,-8.081494431,Clanwilliam
Donaghmore,54.76738979,-7.736733099,Raphoe South
Kilmeane,53.58359089,-8.122284231,Athlone
Aghacrew,52.57918475,-8.118342747,Kilnamanagh Lower
Dungourney,51.97000772,-8.116402285,Barrymore
Cleenish,54.31603676,-7.780752846,Clanawley
Cashel,53.58175464,-7.934274288,Rathcline
Kilronan,54.07700438,-8.125599404,Boyle
Inishmagrath,54.16419603,-8.116178018,Drumahaire
Kilnaneave,52.77840008,-8.117993228,Upper Ormond
Aughrim,53.29825765,-8.346200517,Roscommon
Kilbride,52.58906721,-6.420491305,Ballintober South
Ballymackey,52.87160786,-8.075680651,Upper Ormond
Kilgefin,53.69049672,-8.0881655,Ballintober South
Aghnameadle,52.82665397,-8.005892235,Upper Ormond
