NAME_EN,LATITUDE,LONGITUDE,CO_NAME
North-East Liberties of Coleraine,55.1482331562,-6.6423808351,Londonderry
Cary,55.1829766548,-6.2698280002,Antrim
Coleraine,55.0411083164,-6.7115345573,Londonderry
Kells,52.486129266,-7.348013938,Kilkenny
Leyny,54.0941274301,-8.7554605928,Sligo
Drumahaire,54.216322312,-8.1386790898,Leitrim
Monaghan,54.2469615206,-7.0126607418,Monaghan
Moyashel and Magheradernon,53.5325137929,-7.3315405595,Westmeath
Iverk,52.3365073583,-7.2649093817,Kilkenny
Middlethird,52.4978195584,-7.7736868035,Tipperary
Lune,53.581681248,-6.9278311917,Meath
Navan Upper,53.5878136848,-6.7900562562,Meath
Knocktopher,52.4343372906,-7.1953061215,Kilkenny
Balrothery East,53.5596842483,-6.1808200507,Dublin
Moyfenrath Lower,53.483396418,-6.8225533433,Meath
Tinnahinch,53.1420165801,-7.4669520267,Laois
Narragh and Reban West,53.0202860693,-7.0012260901,Kildare
Dunmore,53.5831070705,-8.8591296137,Galway
Clanwilliam,52.4627905301,-8.1396034986,Tipperary
Gallen,53.9665001362,-9.0221885475,Mayo
Iffa and Offa West,52.3024203531,-7.9698860495,Tipperary
Cork,51.9025823808,-8.4792996288,Cork
Dunboyne,53.4304477977,-6.4656310712,Meath
Kells Lower,53.8206103266,-6.855718824,Meath
Kinelarty,54.3612810648,-5.8750775853,Down
Cullenagh,52.9221656994,-7.2762623501,Laois
Lurg,54.5150300191,-7.7606848825,Fermanagh
Castlereagh Lower,54.5695012279,-5.7725055593,Down
Kilconway,54.9890202243,-6.371598243,Antrim
Skreen,53.5990718259,-6.5662788734,Meath
Barretts,52.0284077061,-8.6206009745,Cork
Barrymore,52.0011532148,-8.3047707606,Cork
Coonagh,52.5751411072,-8.2914197469,Limerick
Arklow,52.8704321123,-6.1602319328,Wicklow
Boylagh,54.8884580597,-8.2762302548,Donegal
Kilmallock,52.4023188063,-8.5772178943,Limerick
Offaly East,53.1916205925,-6.923291198,Kildare
