name,lat,long,within
Mogeely,52.053766151,-8.0359450607,Kinatalloon
Saint John's,53.529098788,-8.0243865902,Athlone
Donegal,54.6910719247,-8.0054389461,Tirhugh
Kilmahon,51.8477516656,-8.0382624461,Imokilly
Clonbullogue,52.4233983015,-8.0227203022,Clanwilliam
Belleek,54.5043558382,-7.9927792261,Lurg
Templeree,52.8002938131,-7.7767321753,Ikerrin
Kilcleagh,53.3738435967,-7.8045557673,Clonlonan
Kiltoom,53.4696099478,-8.0181325953,Athlone
Kiltoghert,54.0122307484,-8.0322032986,Leitrim
Kilcomin,52.9592226317,-7.9446523166,Clonlisk
Killeagh,51.9504517318,-7.9946433066,Imokilly
Clonoulty,52.6023863838,-8.0051618489,Kilnamanagh Lower
Tubbrid,52.3309028514,-7.992540925,Iffa and Offa West
Oughterleague,52.5487249741,-7.9946103905,Kilnamanagh Lower
Relickmurry and Athassel,52.4760850181,-7.9830095979,Clanwilliam
Cullenwaine,52.8908713862,-7.9821956679,Clonlisk
Inishmacsaint,54.500973067,-8.2006838763,Magheraboy
Killinagh,54.2419144681,-7.9543123146,Tullyhaw
Kilteevoge,54.8220132074,-7.9582764688,Raphoe South
Agharra,53.6089939635,-7.6420811703,Shrule
Borrisnafarney,52.8480726316,-7.9479381972,Clonlisk
Raymoghy,54.9472692852,-7.5863120758,Raphoe North
Mevagh,55.1588532849,-7.7991184477,Kilmacrenan
Tisaran,53.2556725709,-7.9388364847,Garrycastle
St Peter's (part),53.4048267291,-7.9791049405,Athlone
Rathdowney,52.8548672846,-7.6498356832,Clandonagh
Moyaliff,52.6620878863,-7.9760673907,Kilnamanagh Upper
Templebeg,52.6850941704,-8.0408864903,Kilnamanagh Upper
Kiltubbrid,54.0371988896,-7.9581861903,Leitrim
Kilkenny West,53.4876275646,-7.8518486151,Kilkenny West
Inch,51.8203043372,-8.1540878461,Eliogarty
Templeport,54.1409493465,-7.7745141131,Tullyhaw
Ardmayle,52.5680072176,-7.92240419,Middlethird
Rathcline,53.6472618955,-7.975909179,Rathcline
Convoy,54.868457481,-7.7639641983,Raphoe South
Clogher,52.6326873698,-7.988552323,Kilnamanagh Lower
Templecarn,54.511146196,-7.8860101707,Tirhugh
Ballycahill,52.6885819324,-7.899195422,Kilnamanagh Upper
Killashee,53.6951903468,-7.9034995756,Moydow
Enniskillen,54.3828722879,-7.4711874928,Tirkennedy
Templemichael,51.7762523361,-8.5975859569,Coshmore and Coshbride
Saint Patricksrock,52.5119880816,-7.8729926052,Middlethird
Kilmacrenan,55.0570181501,-7.7995736192,Kilmacrenan
Dungarvan,52.088857447,-7.638865633,Decies without Drum
Oughteragh,54.0773690319,-7.8469481331,Carrigallen
Ballybacon,52.2665230113,-7.890525034,Iffa and Offa West
Dunkerrin,52.9313146291,-7.9120865346,Clonlisk
Lemanaghan,53.3177937142,-7.7636230513,Garrycastle
Termonamongan,54.6727814909,-7.7512192712,West Omagh
Bourney,52.8849385974,-7.8007655767,Ikerrin
Conwal,54.9458884945,-7.8495585305,Kilmacrenan
Kilcommock,53.6157128683,-7.828420469,Moydow
Ballymacormick,53.693420763,-7.8127182191,Ardagh
Ardfinnan,52.3234423028,-7.8626264982,Iffa and Offa West
Drumcullen,53.1275797298,-7.7844131158,Eglish
Thurles,52.6892712632,-7.8221058194,Eliogarty
Noughaval,53.0142715707,-9.1674159775,Kilkenny West
Eglish,53.1513794183,-7.8643935168,Eglish
Aghancon,53.0103564463,-7.782454546,Clonlisk
Clashmore,52.0070580488,-7.8209399507,Decies within Drum
Ettagh,53.0083084168,-7.8407995054,Clonlisk
Killoughy,53.2070062322,-7.6251186454,Ballyboy
Drumkeeran,54.5538313139,-7.7278597245,Lurg
Cloone,53.921328094,-7.7789970322,Mohill
Inishlounaght,52.3580590319,-7.7755151685,Iffa and Offa East
Affane,52.142982341,-7.8203167736,Decies without Drum
Magheraculmoney,54.5164810943,-7.6701535238,Lurg
Roscrea,52.9610565724,-7.8021966287,Ikerrin
Ardmore,52.0170287233,-7.6934252317,Decies within Drum
Newchapel,52.3941567234,-7.7644401806,Iffa and Offa East
Rahelty,52.69671911,-7.7548555645,Eliogarty
Seirkieran,53.0627867468,-7.7900067433,Ballybritt
Ballyboy,53.1753647185,-7.7267813249,Ballyboy
Lickoran,52.1904798918,-7.7677647099,Decies without Drum
Devenish,54.3938534024,-7.8594704623,Magheraboy
Barrettsgrange,52.4680023913,-7.7317639461,Middlethird
St John Baptist,52.5025361265,-7.8508197767,Slievardagh
Derryvullan and Islands,54.4130590664,-7.6412758995,Lurg
Ballyloughloe,53.4232224299,-7.7940690366,Clonlonan
Lisgenan or Grange,51.9847455993,-7.7425124464,Decies within Drum
Kilmanaghan,53.366065054,-7.6743739924,Kilcoursey
Twomileborris,52.6596005397,-7.7049567549,Eliogarty
Rathcool,52.4926798685,-7.7184371833,Middlethird
Rossorry,54.3351966801,-7.6776766757,Magheraboy
Kinnitty,53.0749624355,-7.6919599983,Ballybritt
Letterluna,53.1146455291,-7.6534391745,Ballybritt
Erke,52.8129277519,-7.6023290409,Galmoy
Aghanunshin,54.9784063362,-7.6820850898,Kilmacrenan
Killare,53.4812960453,-7.620832928,Rathconrath
Clonbroney,53.7614670416,-7.6363355621,Granard
Clondavaddog,55.206401781,-7.6705126324,Kilmacrenan
Ringagonagh,52.0505380023,-7.6038891936,Decies within Drum
Kiltinan,52.4348088596,-7.6351804371,Middlethird
Tomregan,54.1481842098,-7.5751493809,Tullyhaw
West Longfield,54.6096257263,-7.5540495954,West Omagh
Mostrim,53.6977367059,-7.5821437876,Ardagh
Carrigallen,53.9901274842,-7.6493548814,Carrigallen
Derrybrusk,54.3029372773,-7.5543591156,Tirkennedy
Kilcooly,52.6585531113,-7.5989943446,Slievardagh
Ardnurcher or Horseleap,53.3996512733,-7.5585034803,Moycashel
Urney,54.0189212494,-7.3972570514,Raphoe South
Conry,53.4787121675,-7.551444446,Rathconrath
Clonleigh,54.8452041078,-7.5168251658,Raphoe North
Mothel,52.2739790515,-7.4534323684,Upperthird
Rathgormuck,52.2973244566,-7.5486212746,Upperthird
Kildallan,54.0516601822,-7.5769462171,Tullyhunco
